FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
601	602	APL	ALL	6010602	-50	M06010602	0	700	0	0	
2	3	AGV	ALL	20003	500	M00020003	0	3976	0	0	
3	4	AGV	ALL	30004	15	M00030004	0	0	0	0	
4	5	AGV	ALL	40005	500	M00040005	0	3976	0	0	
5	6	AGV	ALL	50006	300	M00050006	0	4000	0	0	
6	7	AGV	ALL	60007	500	M00060007	0	4000	0	0	
7	8	AGV	ALL	70008	500	M00070008	0	3822	0	0	
8	9	AGV	ALL	80009	-15	M00080009	0	0	0	0	
9	10	AGV	ALL	90010	500	M00090010	0	3822	0	0	
10	1	AGV	ALL	100001	300	M00100001	0	4000	0	0	
601	603	APL	ALL	6010603	50	M06010603	0	700	0	0	
601	604	APL	ALL	6010604	-50	M06010604	0	1399	0	0	
601	605	APL	ALL	6010605	50	M06010605	0	1400	0	0	
602	601	APL	ALL	6020601	50	M06020601	0	700	0	0	
602	603	APL	ALL	6020603	50	M06020603	0	1400	0	0	
602	604	APL	ALL	6020604	-50	M06020604	0	699	0	0	
602	605	APL	ALL	6020605	50	M06020605	0	2100	0	0	
603	601	APL	ALL	6030601	-50	M06030601	0	700	0	0	
603	602	APL	ALL	6030602	-50	M06030602	0	1400	0	0	
603	604	APL	ALL	6030604	-50	M06030604	0	2099	0	0	
1	2	AGV	ALL	10002	500	M00010002	0	4000	0	0	
2526	4050	AGV	ALL	25264050	600	M25264050	0	4860	0	0	
2002	2003	AGV	ALL	20022003	1000	M20022003	0	2861	0	0	
603	605	APL	ALL	6030605	50	M06030605	0	700	0	0	
2003	2004	AGV	ALL	20032004	1000	M20032004	0	3215	0	0	
2003	5000	AGV	ALL	20035000	-500	M20035000	0	4076	0	0	
2004	2005	AGV	ALL	20042005	1000	M20042005	0	3584	0	0	
2005	2006	AGV	ALL	20052006	1000	M20052006	0	3704	0	0	
2012	5060	AGV	ALL	20125060	-500	M20125060	0	3887	0	0	
2006	2007	AGV	ALL	20062007	1000	M20062007	0	3740	0	0	
2007	2008	AGV	ALL	20072008	1000	M20072008	0	2054	0	0	
2022	5360	AGV	ALL	20225360	-500	M20225360	0	3747	0	0	
2760	7492	AGV	ALL	27607492	600	M27607492	0	4631	0	0	
2008	4032	AGV	ALL	20084032	600	M20084032	0	4937	0	0	
2009	2010	AGV	ALL	20092010	1000	M20092010	0	1375	0	0	
2766	7432	AGV	ALL	27667432	600	M27667432	0	4639	0	0	
2010	2011	AGV	ALL	20102011	1000	M20102011	0	5502	0	0	
604	601	APL	ALL	6040601	50	M06040601	0	1399	0	0	
2011	2012	AGV	ALL	20112012	1000	M20112012	0	5222	0	0	
2012	2013	AGV	ALL	20122013	1000	M20122013	0	3117	0	0	
2024	5380	AGV	ALL	20245380	-500	M20245380	0	3780	0	0	
2013	2014	AGV	ALL	20132014	1000	M20132014	0	3755	0	0	
2014	2015	AGV	ALL	20142015	1000	M20142015	0	3687	0	0	
2030	5400	AGV	ALL	20305400	-500	M20305400	0	4062	0	0	
2015	2016	AGV	ALL	20152016	1000	M20152016	0	3697	0	0	
2016	2017	AGV	ALL	20162017	1000	M20162017	0	921	0	0	
2032	5420	AGV	ALL	20325420	-500	M20325420	0	3754	0	0	
2017	2018	AGV	ALL	20172018	1000	M20172018	0	2358	0	0	
2017	4025	AGV	ALL	20174025	500	M20174025	0	3711	0	0	
2018	2019	AGV	ALL	20182019	1000	M20182019	0	3910	0	0	
2018	4525	AGV	ALL	20184525	500	M20184525	0	3162	0	0	
2019	2020	AGV	ALL	20192020	1000	M20192020	0	5263	0	0	
604	602	APL	ALL	6040602	50	M06040602	0	699	0	0	
2020	2021	AGV	ALL	20202021	1000	M20202021	0	3001	0	0	
2035	5440	AGV	ALL	20355440	-500	M20355440	0	3811	0	0	
2021	2022	AGV	ALL	20212022	1000	M20212022	0	4079	0	0	
2022	2023	AGV	ALL	20222023	1000	M20222023	0	3657	0	0	
2045	4504	AGV	ALL	20454504	700	M20454504	0	4977	0	0	
2023	2024	AGV	ALL	20232024	1000	M20232024	0	3481	0	0	
2024	2025	AGV	ALL	20242025	1000	M20242025	0	2166	0	0	
2502	6110	AGV	ALL	25026110	-500	M25026110	0	4636	0	0	
2025	2026	AGV	ALL	20252026	1000	M20252026	0	4700	0	0	
2025	4018	AGV	ALL	20254018	600	M20254018	0	5268	0	0	
2773	7372	AGV	ALL	27737372	600	M27737372	0	5495	0	0	
2026	4518	AGV	ALL	20264518	600	M20264518	0	3441	0	0	
2027	2028	AGV	ALL	20272028	1000	M20272028	0	2838	0	0	
604	603	APL	ALL	6040603	50	M06040603	0	2099	0	0	
2028	2029	AGV	ALL	20282029	1000	M20282029	0	3861	0	0	
2029	2030	AGV	ALL	20292030	1000	M20292030	0	4205	0	0	
2030	2031	AGV	ALL	20302031	1000	M20302031	0	3339	0	0	
2502	6170	AGV	ALL	25026170	-500	M25026170	0	4412	0	0	
2031	2032	AGV	ALL	20312032	1000	M20312032	0	3333	0	0	
2032	2033	AGV	ALL	20322033	1000	M20322033	0	3368	0	0	
2505	6090	AGV	ALL	25056090	-500	M25056090	0	4600	0	0	
2033	2034	AGV	ALL	20332034	1000	M20332034	0	2088	0	0	
2034	2035	AGV	ALL	20342035	1000	M20342035	0	1754	0	0	
4529	9011	AGV	ALL	45299011	1000	M45299011	0	3557	0	0	
2035	2036	AGV	ALL	20352036	1000	M20352036	0	1115	0	0	
2036	2037	AGV	ALL	20362037	700	M20362037	0	4993	30000	0	
2036	4011	AGV	ALL	20364011	600	M20364011	0	4054	0	0	
2036	4511	AGV	ALL	20364511	600	M20364511	0	3828	0	0	
3507	9313	AGV	ALL	35079313	1000	M35079313	0	2133	0	0	
2038	2039	AGV	ALL	20382039	1000	M20382039	0	3964	0	0	
2039	2040	AGV	ALL	20392040	1000	M20392040	0	3938	0	0	
2040	2041	AGV	ALL	20402041	1000	M20402041	0	3949	0	0	
2041	2042	AGV	ALL	20412042	1000	M20412042	0	3950	0	0	
2042	2043	AGV	ALL	20422043	1000	M20422043	0	1817	0	0	
2043	2044	AGV	ALL	20432044	1000	M20432044	0	3197	0	0	
2044	2045	AGV	ALL	20442045	1000	M20442045	0	3463	0	0	
2045	2046	AGV	ALL	20452046	1000	M20452046	0	3930	0	0	
2046	2047	AGV	ALL	20462047	1000	M20462047	0	3968	0	0	
2047	2048	AGV	ALL	20472048	1000	M20472048	0	3924	0	0	
2048	2049	AGV	ALL	20482049	1000	M20482049	0	3975	0	0	
2049	2050	AGV	ALL	20492050	1000	M20492050	0	3984	0	0	
2050	2051	AGV	ALL	20502051	1000	M20502051	0	4492	0	0	
2051	2052	AGV	ALL	20512052	1000	M20512052	0	3940	0	0	
2052	2053	AGV	ALL	20522053	1000	M20522053	0	2861	0	0	AreaCheckDetour(4001,4500,"45_West")
2053	2054	AGV	ALL	20532054	1000	M20532054	0	786	0	0	
2054	4001	AGV	ALL	20544001	600	M20544001	0	4584	0	0	
2054	4500	AGV	ALL	20544500	600	M20544500	0	5161	0	0	
2500	2501	AGV	ALL	25002501	1000	M25002501	0	1500	0	0	
2501	2502	AGV	ALL	25012502	1000	M25012502	0	5421	0	0	
2502	2503	AGV	ALL	25022503	1000	M25022503	0	2098	0	0	
2507	6070	AGV	ALL	25076070	-500	M25076070	0	4406	0	0	
2507	6150	AGV	ALL	25076150	-500	M25076150	0	4310	0	0	
2503	2504	AGV	ALL	25032504	1000	M25032504	0	2239	0	0	
2504	2505	AGV	ALL	25042505	1000	M25042505	0	2739	0	0	
2505	2506	AGV	ALL	25052506	1000	M25052506	0	3311	0	0	
2513	6050	AGV	ALL	25136050	-500	M25136050	0	4358	0	0	
2513	6140	AGV	ALL	25136140	-500	M25136140	0	5847	0	0	
2506	2507	AGV	ALL	25062507	1000	M25062507	0	3558	0	0	
2507	2508	AGV	ALL	25072508	1000	M25072508	0	2777	0	0	
2515	6030	AGV	ALL	25156030	-500	M25156030	0	3939	0	0	
2515	6130	AGV	ALL	25156130	-500	M25156130	0	5114	0	0	
2508	2509	AGV	ALL	25082509	1000	M25082509	0	3547	0	0	
3524	6760	AGV	ALL	35246760	-500	M35246760	0	3194	0	0	
2509	2510	AGV	ALL	25092510	1000	M25092510	0	3500	0	0	
2509	4534	AGV	ALL	25094534	400	M25094534	0	3174	0	0	
2510	2511	AGV	ALL	25102511	1000	M25102511	0	4403	0	0	
605	602	APL	ALL	6050602	-50	M06050602	0	2100	0	0	
2511	2512	AGV	ALL	25112512	1000	M25112512	0	3406	0	0	
2512	2513	AGV	ALL	25122513	1000	M25122513	0	3494	0	0	
2513	2514	AGV	ALL	25132514	1000	M25132514	0	2812	0	0	
2517	6010	AGV	ALL	25176010	-500	M25176010	0	3868	0	0	
2521	6450	AGV	ALL	25216450	-500	M25216450	0	4624	0	0	
2514	2515	AGV	ALL	25142515	1000	M25142515	0	3687	0	0	
2515	2516	AGV	ALL	25152516	1000	M25152516	0	3486	0	0	
2521	6510	AGV	ALL	25216510	-500	M25216510	0	4442	0	0	
2523	6430	AGV	ALL	25236430	-500	M25236430	0	4349	0	0	
2516	2517	AGV	ALL	25162517	1000	M25162517	0	3513	0	0	
2517	2518	AGV	ALL	25172518	1000	M25172518	0	2599	0	0	
2517	4024	AGV	ALL	25174024	500	M25174024	0	3467	0	0	
2523	6500	AGV	ALL	25236500	-500	M25236500	0	4256	0	0	
2525	6410	AGV	ALL	25256410	-500	M25256410	0	4145	0	0	
2518	2519	AGV	ALL	25182519	1000	M25182519	0	4900	0	0	
4023	2519	AGV	ALL	40232519	600	M40232519	0	5262	0	0	
2519	2520	AGV	ALL	25192520	1000	M25192520	0	2749	0	0	
2520	2521	AGV	ALL	25202521	1000	M25202521	0	3450	0	0	
2521	2522	AGV	ALL	25212522	1000	M25212522	0	3359	0	0	
2525	6490	AGV	ALL	25256490	-500	M25256490	0	4021	0	0	
2531	6390	AGV	ALL	25316390	-500	M25316390	0	4338	0	0	
2522	2523	AGV	ALL	25222523	1000	M25222523	0	3406	0	0	
2523	2524	AGV	ALL	25232524	1000	M25232524	0	3406	0	0	
2531	6480	AGV	ALL	25316480	-500	M25316480	0	5684	0	0	
2533	6370	AGV	ALL	25336370	-500	M25336370	0	3882	0	0	
2524	2525	AGV	ALL	25242525	1000	M25242525	0	3405	0	0	
2525	2526	AGV	ALL	25252526	1000	M25252526	0	2322	0	0	
2533	6470	AGV	ALL	25336470	-500	M25336470	0	5022	0	0	
2535	6350	AGV	ALL	25356350	-500	M25356350	0	3899	0	0	
2526	2527	AGV	ALL	25262527	1000	M25262527	0	4369	0	0	
2037	2038	AGV	ALL	20372038	500	M20372038	0	2294	0	0	
2527	2528	AGV	ALL	25272528	1000	M25272528	0	3525	0	0	
2527	4519	AGV	ALL	25274519	500	M25274519	0	3166	0	0	
2528	2529	AGV	ALL	25282529	1000	M25282529	0	3404	0	0	
605	603	APL	ALL	6050603	-50	M06050603	0	700	0	0	
2529	2530	AGV	ALL	25292530	1000	M25292530	0	3406	0	0	
2530	2531	AGV	ALL	25302531	1000	M25302531	0	4395	0	0	
2531	2532	AGV	ALL	25312532	1000	M25312532	0	2416	0	0	
4000	4001	AGV	ALL	40004001	700	M40004001	0	4294	0	0	
2539	6770	AGV	ALL	25396770	-500	M25396770	0	4335	0	0	
2532	2533	AGV	ALL	25322533	1000	M25322533	0	4048	0	0	
2533	2534	AGV	ALL	25332534	1000	M25332534	0	2762	0	0	
2539	6830	AGV	ALL	25396830	-500	M25396830	0	4191	0	0	
2541	6750	AGV	ALL	25416750	-500	M25416750	0	4337	0	0	
2534	2535	AGV	ALL	25342535	1000	M25342535	0	4447	0	0	
2535	2536	AGV	ALL	25352536	1000	M25352536	0	1125	0	0	
2541	6820	AGV	ALL	25416820	-500	M25416820	0	4207	0	0	
2543	6730	AGV	ALL	25436730	-500	M25436730	0	5223	0	0	
2536	2537	AGV	ALL	25362537	1000	M25362537	0	4643	0	0	
2536	4010	AGV	ALL	25364010	600	M25364010	0	4317	0	0	
2536	4512	AGV	ALL	25364512	600	M25364512	0	3846	0	0	
2537	2538	AGV	ALL	25372538	1000	M25372538	0	3405	0	0	
2538	2539	AGV	ALL	25382539	1000	M25382539	0	4015	0	0	
2539	2540	AGV	ALL	25392540	1000	M25392540	0	2796	0	0	
2543	6810	AGV	ALL	25436810	-500	M25436810	0	5071	0	0	
2549	6710	AGV	ALL	25496710	-500	M25496710	0	4267	0	0	
2540	2541	AGV	ALL	25402541	1000	M25402541	0	4322	0	0	
2541	2542	AGV	ALL	25412542	1000	M25412542	0	2487	0	0	
2549	6800	AGV	ALL	25496800	-500	M25496800	0	5578	0	0	
2551	6690	AGV	ALL	25516690	-500	M25516690	0	3873	0	0	
2542	2543	AGV	ALL	25422543	1000	M25422543	0	5588	0	0	
2543	2544	AGV	ALL	25432544	1000	M25432544	0	1223	0	0	
2551	6790	AGV	ALL	25516790	-500	M25516790	0	5026	0	0	
2553	6670	AGV	ALL	25536670	-500	M25536670	0	3769	0	0	
2544	2545	AGV	ALL	25442545	1000	M25442545	0	3905	0	0	
4006	2546	AGV	ALL	40062546	600	M40062546	0	4289	0	0	
2545	2546	AGV	ALL	25452546	1000	M25452546	0	1464	0	0	
2545	4505	AGV	ALL	25454505	600	M25454505	0	3997	0	0	
2546	2547	AGV	ALL	25462547	1000	M25462547	0	4845	0	0	
2547	2548	AGV	ALL	25472548	1000	M25472548	0	3701	0	0	
2548	2549	AGV	ALL	25482549	1000	M25482549	0	4950	0	0	
2549	2550	AGV	ALL	25492550	1000	M25492550	0	2789	0	0	
4543	2500	AGV	ALL	45432500	600	M45432500	0	4782	0	0	
2555	7650	AGV	ALL	25557650	-500	M25557650	0	4822	0	0	
2550	2551	AGV	ALL	25502551	1000	M25502551	0	3762	0	0	
2551	2552	AGV	ALL	25512552	1000	M25512552	0	3643	0	0	
2759	7530	AGV	ALL	27597530	-300	M27597530	0	1994	0	0	
2760	7520	AGV	ALL	27607520	-300	M27607520	0	1993	0	0	
2552	2553	AGV	ALL	25522553	1000	M25522553	0	3384	0	0	
