LocationName	Operation	NodeNumber	NodeName	X	Y	Heading	Floor	StopType	RestartAllowed	DestinationOnly	GridlockEscapeNodeNumber	DetourNodeNumber	LaneNode	MaxLaneNodeDistance	LaneNodeSpeed	RestartAPlusMacro	ArriveAPlusMacro	DepartAPlusMacro
NULL	NULL	1	N0001	489734	513823	90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	2	N0002	489734	517823	90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	3	N0003	489734	521800	90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	4	N0004	489734	521800	-90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	5	N0005	489734	517823	-90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	6	N0006	489734	513823	-90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	7	N0007	489734	509823	-90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	8	N0008	489734	506000	-90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	9	N0009	489734	506000	90	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	10	N0010	489734	509823	90	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_CtrU	Center	601	N0601	545740	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_CtrL	Center	601	N0601	545740	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_H2	Park	602	N0602	545040	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_H1	Park	603	N0603	546440	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_R2	Load	604	N0604	544340	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_02_R2	Unload	604	N0604	544340	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
NULL	NULL	605	N0605	547140	506800	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_03_04_CtrL	Center	611	N0611	538646	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_03_04_CtrU	Center	611	N0611	538646	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_04_H2	Park	612	N0612	537946	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_03_H1	Park	613	N0613	539346	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_04_R2	Load	614	N0614	537246	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_04_R2	Unload	614	N0614	537246	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
P40_03_R1	Load	615	N0615	540046	506817	0	0	1	1	0	0	0	0	0	0	 	 	 
